id,label,tweet
30-05-2021 17:42,1,"b""RT @luminesensce: #Bitch I #see #you\n'Cause you know I #know #you\n#Yeah, I know you\nLast time I saw you, you was brewed up, booed up\nReady\xe2\x80\xa6"""
30-05-2021 17:33,1,"b""#Bitch I #see #you\n'Cause you know I #know #you\n#Yeah, I know you\nLast time I saw you, you was brewed up, booed up\xe2\x80\xa6 https://t.co/Cnem3sBdZS"""
30-05-2021 17:07,1,"b'RT @TheGeneral_0: Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH'"
30-05-2021 17:06,1,b'Post work #bitch #nightout https://t.co/ENAoKRNFKw'
30-05-2021 16:41,1,b'@KkArora82 You son of #bitch get lost I said. Today Pedigree has finished. Come tomorrow. I will give you whole packet. Now leave
30-05-2021 16:16,1,"b'RT @TheGeneral_0: Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH'"
30-05-2021 15:51,1,"b'RT @TheGeneral_0: Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH'"
30-05-2021 14:56,1,b'@naomiosaka @rolandgarros Osaka love you my #bitch\xf0\x9f\x98\x9b\xf0\x9f\x92\x9e'
30-05-2021 14:02,1,"b'Hi Guys, #followme I will #followback #RT #retweet #Beast #Bitch #dontmess #Imadifferenttypeofbeast #Jessi\xe2\x80\xa6 https://t.co/20aRLw9Ebu'"
30-05-2021 13:16,1,b'@cobb_gg Found you #Bitch'
30-05-2021 13:06,1,"b'RT @TheGeneral_0: Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH'"
30-05-2021 13:01,1,"b'RT @TheGeneral_0: Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH'"
30-05-2021 12:56,1,"b'Nice pearl necklace, I\xe2\x80\x99m sure that you earned them. #BITCH https://t.co/YncqBprmf7'"
30-05-2021 12:50,1,b'Hello sunday. #genderfluid #genderqueer #redhead #bitch https://t.co/7MRhe8YMZi'
30-05-2021 11:29,1,b'Only #weak #people #believes in #Bullmarket and #bearmarket  \n#marketmaker is the only one who controles the\xe2\x80\xa6 https://t.co/Nr5pO2hcB9'
30-05-2021 10:14,1,"b'Karma is awesome, love that #bitch \xf0\x9f\x98\x82 https://t.co/KgQIFbTcyA'"
30-05-2021 09:57,1,b'Hoping norin hamiza will be bully by someone who hates her. #karma #whatgoesaroundcomesaround #toxic #bitch so proud to be bitch.'
30-05-2021 09:45,1,b'Im one kawaii ass bitch #Bitch'
30-05-2021 07:38,1,"b'RT @hoe_lyshit_: peeps be like ""you dont know you\'re beautiful""-\n...bitch ik im\xf0\x9f\x92\x85\xf0\x9f\x8f\xbb\n.\n.\n.\n#OneDirection #whatmakesyoubeautiful #beautiful #In\xe2\x80\xa6'"
